Trade date,Instrument code,Market code,Quantity,Price,Currency,Amount,Transaction fee,Transaction method
2024-06-17 02:14:43.519000 (UTC),BSE,ASX,69.62264151,0.265,aud,18.45,0,BUY
2024-07-08 01:42:28.782000 (UTC),ILC,ASX,0.89283366,30.42,aud,27.16,0,BUY
2024-03-25 13:30:04.424000 (UTC),KO,NYSE,0.0593524,60.51,usd,3.59,0,BUY
2023-11-06 14:30:19.139000 (UTC),AAPL,NASDAQ,0.08106575,176.4,usd,14.3,0,BUY
2023-10-24 13:30:10.163000 (UTC),JNJ,NYSE,0.09251655,151,usd,13.97,0,BUY
2024-02-18 23:40:11.646480 (UTC),AIR,NZX,39.37007874,0.635,nzd,25,0,BUY
2023-11-27 14:30:36.716000 (UTC),MSFT,NASDAQ,0.05454015,376.97,usd,20.56,0,BUY
2024-05-20 01:40:20.418441 (UTC),STU,NZX,10,1,nzd,10,0,BUY
2023-10-29 23:20:29.188000 (UTC),IXJ,ASX,0.37039746,123.03,aud,45.57,0,BUY
2024-01-16 14:30:34.229000 (UTC),PLTR,NASDAQ,0.37484884,16.54,usd,6.2,0,BUY
2024-03-12 13:30:03.613000 (UTC),SMH,NASDAQ,0.13671788,224.55,usd,30.7,0,BUY
2022-11-17 14:30:17.931000 (UTC),PLTR,NASDAQ,3.43112025,7.83,usd,26.87,0.13433,BUY
2024-02-05 14:30:25.734000 (UTC),INTC,NASDAQ,0.63604406,42.67,usd,27.14,0,BUY
2024-04-08 13:30:04.721000 (UTC),MSFT,NASDAQ,0.0421647,425,usd,17.92,0,BUY
2024-01-02 14:30:27.158000 (UTC),JNJ,NYSE,0.09552029,156.93,usd,14.99,0,BUY
2024-07-08 13:30:03.084000 (UTC),ASX,NYSE,1.04448246,11.69,usd,12.21,0,BUY
2023-12-26 14:30:18.711000 (UTC),PLTR,NASDAQ,0.35624284,17.46,usd,6.22,0,BUY
2024-01-08 14:30:30.425000 (UTC),QQQ,NASDAQ,0.07795503,398.05,usd,31.03,0,BUY
2024-05-28 13:30:00.825000 (UTC),AAPL,NASDAQ,0.0954346,191.44,usd,18.27,0,BUY
2021-05-19 13:30:35.765000 (UTC),GSBD,NYSE,0.996021,19.49,usd,19.41,0.09755,BUY
2023-09-14 04:59:41.000145 (UTC),STU,NZX,29,1.14,nzd,33.06,0.62814,BUY
2024-03-18 00:06:36.417000 (UTC),IXJ,ASX,0.33079957,139.45,aud,46.13,0,BUY
2022-04-11 01:43:01.753000 (UTC),RIO,ASX,1,118,aud,118,0.59,BUY
2023-10-16 13:30:26.393000 (UTC),NVDA,NASDAQ,0.03909077,450.49,usd,17.61,0,BUY
2024-04-29 13:30:00.613000 (UTC),META,NASDAQ,0.04035854,439.56,usd,17.74,0,BUY
2024-05-27 02:06:18.314612 (UTC),AIR,NZX,47.16981132,0.53,nzd,25,0,BUY
2024-08-07 18:16:27.678000 (UTC),NVDA,NASDAQ,5,99.9,usd,499.5,3.8662,BUY
2024-06-10 13:30:01.489000 (UTC),IXUS,NASDAQ,0.44150174,68.72,usd,30.34,0,BUY
2023-10-03 13:30:11.656000 (UTC),META,NASDAQ,0.04865131,304,usd,14.79,0,BUY
2023-11-27 14:30:19.663000 (UTC),IXUS,NASDAQ,0.48376779,62.53,usd,30.25,0,BUY
2021-02-21 22:17:36 (UTC),CEN,NZX,1.66993,7.15,nzd,11.94,0.06,BUY
2024-02-05 14:30:07.912000 (UTC),KO,NYSE,0.059788,60.38,usd,3.61,0,BUY
2023-11-13 14:30:28.497000 (UTC),QQQ,NASDAQ,0.07761708,376.85,usd,29.25,0,BUY
2023-11-19 23:27:43.339000 (UTC),RIO,ASX,0.07306338,124.96,aud,9.13,0,BUY
2024-03-25 13:30:05.136000 (UTC),TM,NYSE,0.01424542,252.11,usd,3.59,0,BUY
